Date,Open,High,Low,Close,Adj Close,Volume
2011-02-01,18425.179688,18452.060547,17982.169922,18022.220703,18022.220703,20200
2011-02-02,18216.910156,18306.000000,18042.609375,18090.619141,18090.619141,22800
2011-02-03,18113.730469,18466.210938,18064.609375,18449.310547,18449.310547,21600
2011-02-04,18450.070313,18542.199219,17926.980469,18008.150391,18008.150391,23000
2011-02-07,18135.019531,18180.939453,17977.009766,18037.189453,18037.189453,13000
2011-02-08,18141.509766,18141.509766,17742.179688,17775.699219,17775.699219,14200
2011-02-09,17723.990234,17864.320313,17508.349609,17592.769531,17592.769531,30200
2011-02-10,17603.289063,17636.880859,17362.589844,17463.039063,17463.039063,25200
2011-02-11,17519.130859,17752.560547,17295.619141,17728.609375,17728.609375,25400
2011-02-14,17940.160156,18227.619141,17857.119141,18202.199219,18202.199219,21800
2011-02-15,18260.080078,18361.660156,18050.480469,18273.800781,18273.800781,23600
2011-02-16,18273.060547,18358.839844,18216.119141,18300.900391,18300.900391,18800
2011-02-17,18345.119141,18532.609375,18233.789063,18506.820313,18506.820313,16600
2011-02-18,18564.080078,18690.970703,18159.820313,18211.519531,18211.519531,22000
2011-02-21,18238.539063,18457.490234,18082.660156,18438.310547,18438.310547,19200
2011-02-22,18390.720703,18457.900391,18187.330078,18296.160156,18296.160156,19800
2011-02-23,18233.769531,18377.480469,18150.009766,18178.330078,18178.330078,22200
2011-02-24,18135.119141,18135.119141,17559.699219,17632.410156,17632.410156,23000
2011-02-25,17775.080078,17812.439453,17469.970703,17700.910156,17700.910156,21800
2011-02-28,17811.080078,18296.529297,17718.880859,17823.400391,17823.400391,30000
2011-03-01,17982.279297,18478.679688,17964.390625,18446.500000,18446.500000,24800
2011-03-03,18318.320313,18603.570313,18253.619141,18489.759766,18489.759766,28600
2011-03-04,18622.699219,18736.970703,18448.689453,18486.449219,18486.449219,19800
2011-03-07,18361.650391,18363.449219,18058.710938,18222.669922,18222.669922,15200
2011-03-08,18277.339844,18466.810547,18266.619141,18439.650391,18439.650391,13800
2011-03-09,18522.800781,18583.300781,18303.800781,18469.949219,18469.949219,22600
2011-03-10,18430.839844,18430.839844,18261.259766,18327.980469,18327.980469,18600
2011-03-11,18248.109375,18368.429688,18063.289063,18174.089844,18174.089844,20600
2011-03-14,18167.099609,18463.839844,18155.429688,18439.480469,18439.480469,15400
2011-03-15,18113.789063,18326.330078,17920.550781,18167.640625,18167.640625,22400
2011-03-16,18263.679688,18444.470703,18263.679688,18358.689453,18358.689453,16200
2011-03-17,18227.160156,18354.269531,18104.019531,18149.869141,18149.869141,18200
2011-03-18,18251.179688,18259.609375,17849.529297,17878.810547,17878.810547,16400
2011-03-21,17984.720703,18007.730469,17792.169922,17839.050781,17839.050781,12400
2011-03-22,17929.089844,18041.380859,17878.800781,17988.300781,17988.300781,11800
2011-03-23,17972.039063,18218.279297,17950.169922,18206.160156,18206.160156,13400
2011-03-24,18286.419922,18373.970703,18269.320313,18350.740234,18350.740234,11200
2011-03-25,18480.689453,18858.300781,18480.689453,18815.640625,18815.640625,15200
2011-03-28,18799.710938,19024.179688,18799.570313,18943.140625,18943.140625,12800
2011-03-29,18949.570313,19226.210938,18944.820313,19120.800781,19120.800781,17200
2011-03-30,19178.769531,19357.099609,19178.769531,19290.179688,19290.179688,12200
2011-03-31,19339.750000,19575.160156,19284.349609,19445.220703,19445.220703,16200
2011-04-01,19463.109375,19562.550781,19382.349609,19420.390625,19420.390625,12400
2011-04-04,19473.929688,19729.599609,19449.359375,19701.730469,19701.730469,10600
2011-04-05,19731.380859,19770.210938,19523.539063,19686.820313,19686.820313,12600
2011-04-06,19698.609375,19811.140625,19550.550781,19612.199219,19612.199219,14400
2011-04-07,19620.880859,19665.089844,19537.019531,19591.179688,19591.179688,9600
2011-04-08,19602.810547,19697.210938,19388.419922,19451.449219,19451.449219,10400
2011-04-11,19382.910156,19426.300781,19242.589844,19262.539063,19262.539063,9400
2011-04-13,19187.009766,19737.330078,19101.630859,19696.859375,19696.859375,17800
2011-04-15,19670.070313,19700.960938,19337.119141,19386.820313,19386.820313,17000
2011-04-18,19389.740234,19649.220703,19071.470703,19091.169922,19091.169922,13800
2011-04-19,19091.779297,19201.919922,18976.189453,19121.830078,19121.830078,11400
2011-04-20,19274.210938,19484.769531,19171.029297,19470.980469,19470.980469,15400
2011-04-21,19582.500000,19695.980469,19530.500000,19602.230469,19602.230469,15200
2011-04-25,19538.519531,19697.490234,19531.339844,19584.310547,19584.310547,11400
2011-04-26,19596.320313,19626.130859,19306.919922,19545.349609,19545.349609,11600
2011-04-27,19610.710938,19633.630859,19412.789063,19448.689453,19448.689453,13400
2011-04-28,19532.849609,19542.050781,19265.919922,19292.019531,19292.019531,14000
2011-04-29,19292.570313,19356.500000,19015.050781,19135.960938,19135.960938,10600
2011-05-02,19224.050781,19253.869141,18954.759766,18998.019531,18998.019531,9400
2011-05-03,18979.310547,19024.949219,18502.419922,18534.689453,18534.689453,13400
2011-05-04,18558.330078,18604.359375,18339.529297,18469.359375,18469.359375,13000
2011-05-05,18484.710938,18569.210938,18160.650391,18210.580078,18210.580078,14800
2011-05-06,18289.779297,18568.480469,18271.679688,18518.810547,18518.810547,30200
2011-05-09,18628.630859,18643.580078,18367.210938,18528.960938,18528.960938,9200
2011-05-10,18564.949219,18689.369141,18429.060547,18512.769531,18512.769531,13200
2011-05-11,18572.609375,18622.439453,18454.929688,18584.960938,18584.960938,10000
2011-05-12,18525.320313,18610.019531,18314.339844,18335.789063,18335.789063,10200
2011-05-13,18362.449219,18724.539063,18280.699219,18531.279297,18531.279297,12600
2011-05-16,18492.679688,18492.679688,18319.880859,18345.029297,18345.029297,9400
2011-05-17,18374.449219,18435.800781,18084.669922,18137.349609,18137.349609,14200
2011-05-18,18177.320313,18218.199219,18020.789063,18086.199219,18086.199219,12400
2011-05-19,18166.640625,18198.449219,18057.820313,18141.400391,18141.400391,13400
2011-05-20,18199.960938,18429.470703,18161.380859,18326.089844,18326.089844,17000
2011-05-23,18269.060547,18269.060547,17971.019531,17993.330078,17993.330078,10400
2011-05-24,18016.429688,18110.390625,17933.939453,18011.970703,18011.970703,12600
2011-05-25,17976.359375,17976.359375,17786.130859,17847.240234,17847.240234,10200
2011-05-26,17917.109375,18072.609375,17862.880859,18044.640625,18044.640625,12600
2011-05-27,18105.609375,18298.640625,18087.160156,18266.099609,18266.099609,12800
2011-05-30,18319.740234,18380.169922,18199.519531,18232.060547,18232.060547,11600
2011-05-31,18266.609375,18526.800781,18266.609375,18503.279297,18503.279297,14600
2011-06-01,18527.119141,18636.119141,18514.660156,18608.810547,18608.810547,12600
2011-06-02,18425.849609,18540.669922,18390.570313,18494.179688,18494.179688,15400
2011-06-03,18554.400391,18672.650391,18345.849609,18376.480469,18376.480469,14400
2011-06-06,18344.269531,18458.630859,18258.419922,18420.109375,18420.109375,8800
2011-06-07,18355.300781,18545.949219,18351.240234,18495.619141,18495.619141,10000
2011-06-08,18448.400391,18505.099609,18365.939453,18394.289063,18394.289063,10800
2011-06-09,18394.570313,18449.640625,18327.009766,18384.900391,18384.900391,10000
2011-06-10,18390.410156,18399.019531,18182.900391,18268.539063,18268.539063,9600
2011-06-13,18242.250000,18313.210938,18120.759766,18266.029297,18266.029297,10400
2011-06-14,18276.779297,18380.189453,18261.109375,18308.660156,18308.660156,26800
2011-06-15,18298.589844,18308.689453,18111.210938,18132.240234,18132.240234,9600
2011-06-16,18060.109375,18155.099609,17958.939453,17985.880859,17985.880859,10600
2011-06-17,18060.169922,18064.759766,17844.089844,17870.529297,17870.529297,10800
2011-06-20,17925.169922,17925.169922,17314.380859,17506.630859,17506.630859,12800
2011-06-21,17574.369141,17714.880859,17504.269531,17560.300781,17560.300781,11400
2011-06-22,17659.369141,17678.859375,17492.189453,17550.630859,17550.630859,9600
2011-06-23,17526.919922,17754.550781,17482.210938,17727.490234,17727.490234,11400
2011-06-24,17804.939453,18268.949219,17804.939453,18240.679688,18240.679688,14800
2011-06-27,18132.699219,18494.109375,18132.699219,18412.410156,18412.410156,13400
2011-06-28,18493.589844,18527.449219,18323.439453,18492.449219,18492.449219,11400
2011-06-29,18552.189453,18715.390625,18552.189453,18693.859375,18693.859375,13800
2011-06-30,18741.099609,18873.390625,18723.140625,18845.869141,18845.869141,11400
2011-07-01,18974.960938,19031.380859,18713.070313,18762.800781,18762.800781,14000
2011-07-04,18896.240234,18942.419922,18781.880859,18814.480469,18814.480469,12200
2011-07-05,18837.880859,18837.880859,18694.050781,18744.560547,18744.560547,12200
2011-07-06,18730.289063,18823.449219,18682.599609,18726.970703,18726.970703,8400
2011-07-07,18776.619141,19097.779297,18767.250000,19078.300781,19078.300781,11400
2011-07-08,19084.060547,19131.699219,18817.710938,18858.039063,18858.039063,12200
2011-07-11,18823.189453,18843.970703,18679.490234,18721.390625,18721.390625,9200
2011-07-12,18534.109375,18589.189453,18326.419922,18411.619141,18411.619141,10600
2011-07-13,18468.820313,18626.410156,18465.400391,18596.019531,18596.019531,9800
2011-07-14,18563.689453,18803.050781,18449.230469,18618.199219,18618.199219,11800
2011-07-15,18694.189453,18936.429688,18513.220703,18561.919922,18561.919922,6800
2011-07-18,18592.189453,18622.560547,18469.529297,18507.039063,18507.039063,9000
2011-07-19,18521.380859,18690.419922,18481.830078,18653.869141,18653.869141,8400
2011-07-20,18756.310547,18765.599609,18473.900391,18502.380859,18502.380859,9800
2011-07-21,18514.650391,18566.990234,18415.359375,18436.189453,18436.189453,8000
2011-07-22,18565.039063,18747.060547,18533.429688,18722.300781,18722.300781,14800
2011-07-25,18753.349609,18932.269531,18670.839844,18871.289063,18871.289063,22800
2011-07-26,18898.189453,18944.599609,18481.630859,18518.220703,18518.220703,15600
2011-07-27,18571.150391,18578.550781,18358.759766,18432.250000,18432.250000,14200
2011-07-28,18300.550781,18327.849609,18188.880859,18209.519531,18209.519531,12200
2011-07-29,18194.150391,18334.269531,18131.859375,18197.199219,18197.199219,16200
2011-08-01,18352.230469,18440.070313,18219.250000,18314.330078,18314.330078,9600
2011-08-02,18283.550781,18283.550781,18037.869141,18109.890625,18109.890625,11000
2011-08-03,17970.189453,18005.759766,17859.500000,17940.550781,17940.550781,13400
2011-08-04,17983.859375,18032.550781,17664.730469,17693.179688,17693.179688,11000
2011-08-05,17350.369141,17358.179688,16990.910156,17305.869141,17305.869141,20400
2011-08-08,16907.570313,17247.869141,16759.449219,16990.179688,16990.179688,20000
2011-08-09,16517.869141,17135.039063,16432.000000,16857.910156,16857.910156,23800
2011-08-10,17244.710938,17256.460938,17022.250000,17130.509766,17130.509766,15600
2011-08-11,17056.609375,17207.820313,17012.949219,17059.400391,17059.400391,9400
2011-08-12,17246.880859,17246.880859,16784.560547,16839.630859,16839.630859,13400
2011-08-16,17015.990234,17035.490234,16673.519531,16730.939453,16730.939453,12600
2011-08-17,16782.240234,17000.380859,16708.980469,16840.800781,16840.800781,15000
2011-08-18,16910.269531,16916.810547,16433.310547,16469.789063,16469.789063,14600
2011-08-19,16237.780273,16287.719727,15987.769531,16141.669922,16141.669922,16400
2011-08-22,16155.990234,16370.459961,16046.480469,16341.700195,16341.700195,11600
2011-08-23,16446.849609,16549.210938,16213.179688,16498.470703,16498.470703,11400
2011-08-24,16490.779297,16533.220703,16253.780273,16284.980469,16284.980469,13600
2011-08-25,16338.139648,16373.839844,16104.339844,16146.330078,16146.330078,12200
2011-08-26,16155.549805,16256.379883,15765.530273,15848.830078,15848.830078,14200
2011-08-29,16080.740234,16462.029297,16068.730469,16416.330078,16416.330078,11200
2011-08-30,16585.099609,16714.699219,16443.349609,16676.750000,16676.750000,15200
2011-09-02,16963.669922,16989.859375,16688.060547,16821.460938,16821.460938,12800
2011-09-05,16678.339844,16760.070313,16561.460938,16713.330078,16713.330078,12200
2011-09-06,16663.730469,16894.730469,16488.300781,16862.810547,16862.810547,14600
2011-09-07,16922.310547,17157.210938,16922.310547,17065.000000,17065.000000,17400
2011-09-08,17118.080078,17209.660156,16987.369141,17165.539063,17165.539063,12200
2011-09-09,17189.750000,17211.800781,16830.949219,16866.970703,16866.970703,11800
2011-09-12,16668.250000,16668.250000,16393.039063,16501.740234,16501.740234,13400
2011-09-13,16618.169922,16766.189453,16374.679688,16467.439453,16467.439453,14600
2011-09-14,16522.710938,16754.220703,16387.380859,16709.599609,16709.599609,16000
2011-09-15,16837.759766,16922.400391,16545.470703,16876.539063,16876.539063,15400
2011-09-16,17047.730469,17122.539063,16889.580078,16933.830078,16933.830078,20400
2011-09-19,16865.929688,16865.929688,16709.410156,16745.349609,16745.349609,11600
2011-09-20,16768.630859,17135.439453,16758.689453,17099.279297,17099.279297,14200
